,ip,port,tag
0,85.198.222.74,8872,None
1,223.27.147.105,8091,None
2,222.184.51.190,8082,None
3,54.184.242.201,8688,2
4,189.41.223.232,80,None
5,86.121.221.141,80,None
6,151.231.191.53,80,None
7,185.210.245.7,8888,None
8,211.228.231.123,85,None
9,194.26.164.55,80,None
10,82.10.233.246,80,None
11,34.234.64.77,8001,2
12,31.186.54.137,82,None
13,190.151.232.197,80,None
14,60.241.83.218,8014,None
15,195.54.43.239,85,None
16,24.204.29.9,80,None
17,81.149.219.48,8080,None
18,82.17.212.146,80,None
19,86.19.18.235,80,None
20,43.242.242.157,9028,None
21,147.236.150.138,80,None
22,171.245.109.10,9010,None
23,82.139.13.245,80,None
24,185.115.38.72,80,None
25,193.210.235.155,4369,None
26,100.2.244.51,9000,None
27,2.88.234.30,80,None
28,117.5.180.135,180,None
29,76.26.108.25,80,None
30,86.57.154.22,80,None
31,190.190.93.37,80,None
32,35.183.209.66,2225,2
33,104.33.215.249,80,None
34,71.239.143.60,80,None
35,18.231.17.59,8238,2
36,115.135.99.230,90,None
37,46.253.99.104,9009,None
38,162.155.101.110,80,None
39,13.239.47.8,1500,2
40,84.246.14.204,801,None
41,79.114.176.208,84,None
42,113.165.113.59,81,None
43,3.26.152.54,3054,2
44,176.241.43.75,90,None
45,190.111.117.85,80,None
46,3.96.158.148,2561,2
47,15.222.238.116,8045,2
48,121.178.176.238,80,None
49,119.193.112.193,80,None
50,84.63.29.142,80,None
51,114.35.213.200,80,None
52,80.250.155.254,80,None
53,54.180.148.181,1830,2
54,103.221.76.75,80,None
55,116.97.34.254,20,None
56,80.178.83.233,90,None
57,143.208.166.190,81,None
58,149.62.241.130,80,None
59,117.3.150.123,8082,None
60,222.254.245.105,8080,None
61,1.171.173.117,80,None
62,86.167.203.32,80,None
63,61.98.181.92,80,None
64,54.176.66.194,5222,2
65,201.127.144.84,80,None
66,13.251.1.108,9011,2
67,183.101.84.50,80,None
68,3.25.149.197,3389,2
69,189.201.148.234,81,None
70,3.135.232.86,28017,2
71,82.77.102.254,80,None
72,212.233.131.117,80,None
73,91.218.181.21,82,None
74,147.236.148.168,443,1
75,190.140.230.71,80,None
76,189.163.25.60,8427,None
77,83.171.91.91,8383,None
78,13.212.106.126,4118,2
79,90.214.149.236,80,None
80,189.239.93.107,80,None
81,54.77.4.18,8034,2
82,3.101.101.28,1500,2
83,200.91.202.66,83,None
84,114.34.192.156,80,None
85,85.130.131.207,443,1
86,3.26.131.37,9219,2
87,52.83.45.123,9035,2
88,86.21.151.31,80,None
89,86.149.161.131,81,None
90,222.254.95.16,81,None
91,71.105.188.25,9000,None
92,94.126.147.100,443,1
93,3.36.60.222,8622,2
94,129.126.115.209,83,None
95,46.64.202.122,80,None
96,96.227.232.149,80,None
97,185.19.2.66,8080,None
98,121.122.81.172,80,None
99,3.249.250.48,95,2
100,110.44.123.120,131,None
101,77.89.224.234,90,None
102,13.208.249.123,8969,2
103,24.151.176.154,80,None
104,149.224.226.5,80,None
105,14.185.69.158,82,None
106,195.87.68.78,83,None
107,46.240.143.254,85,None
108,47.184.46.237,80,None
109,110.159.139.27,9094,None
110,99.233.111.140,80,None
111,107.215.169.17,80,None
112,120.238.246.253,8001,None
113,79.197.32.231,80,None
114,27.210.18.110,81,None
115,179.104.88.211,9024,None
116,3.15.16.148,21,2
117,115.132.253.128,80,None
118,116.106.72.12,85,None
119,13.38.1.207,3094,2
120,31.191.237.147,80,None
121,18.133.204.105,8432,2
122,190.58.246.230,80,None
123,122.59.199.58,443,1
124,3.73.67.4,2053,2
125,78.141.54.150,82,None
126,86.122.227.14,81,None
127,171.249.4.7,83,None
128,103.251.17.178,80,None
129,108.6.122.211,9000,None
130,66.75.224.79,80,None
131,93.147.15.53,80,None
132,120.0.99.221,82,None
133,86.186.22.197,80,None
134,220.134.146.106,80,None
135,18.188.230.135,8051,2
136,82.81.97.114,91,None
137,3.252.51.79,51106,2
138,175.211.176.238,90,None
139,179.9.148.215,80,None
140,86.143.225.207,80,None
141,35.180.89.157,8442,2
142,54.206.53.46,2126,2
143,60.14.48.38,88,None
144,60.249.137.17,80,None
145,3.110.135.175,4500,2
146,49.49.187.253,88,None
147,185.182.168.128,8000,None
148,118.189.42.211,84,None
149,124.89.200.33,81,None
150,116.111.47.43,443,1
151,43.228.129.21,8002,None
152,13.208.214.85,8007,2
153,79.112.196.195,80,None
154,98.181.71.185,82,None
155,166.141.50.168,80,None
156,82.34.168.150,80,None
157,91.92.132.20,80,None
158,72.74.249.115,80,None
159,91.158.210.177,80,None
160,108.178.90.67,80,None
161,82.6.107.102,80,None
162,92.5.91.16,5010,None
163,15.206.194.113,8237,2
164,52.195.158.67,4840,2
165,18.194.1.113,52869,2
166,5.81.234.41,8080,None
167,109.109.147.106,84,None
168,36.72.193.167,593,None
169,187.150.75.97,81,None
170,86.9.9.193,443,1
171,65.2.161.10,8426,2
172,190.212.129.156,80,None
173,92.44.217.87,2080,None
174,15.156.197.36,636,2
175,86.105.209.104,2020,None
176,216.8.194.208,80,None
177,5.206.239.28,80,None
178,119.204.35.217,8000,None
179,13.208.175.193,8031,2
180,187.205.243.184,80,None
181,93.194.190.240,81,None
182,68.205.84.200,80,None
183,81.149.47.55,80,None
184,211.250.23.114,80,None
185,121.37.199.23,1366,1
186,59.154.238.152,443,1
187,59.149.239.98,84,None
188,13.127.254.9,1911,2
189,175.143.18.185,143,None
190,220.245.149.194,9998,None
191,31.117.230.30,80,None
192,79.112.157.186,646,None
193,86.17.72.121,80,None
194,13.37.221.66,5003,2
195,58.152.51.123,8080,None
196,99.241.40.188,80,None
197,38.172.134.125,8008,None
198,79.170.73.93,80,None
199,186.144.34.6,80,None
200,181.160.39.24,80,None
201,45.201.175.174,80,None
202,169.0.204.194,80,None
203,86.4.45.156,80,None
204,188.0.129.69,80,None
205,175.100.41.111,80,None
206,194.107.136.77,8012,None
207,59.5.38.145,80,None
208,49.0.253.51,3116,1
209,41.248.182.244,80,None
210,54.212.44.22,8866,2
211,110.93.246.222,80,None
212,86.25.225.145,80,None
213,83.50.180.10,7777,None
214,18.229.155.61,3388,2
215,73.73.202.5,80,None
216,141.179.50.87,4282,None
217,220.134.254.42,80,None
218,122.180.5.202,82,None
219,178.190.26.69,80,None
220,87.195.103.195,789,None
221,176.205.60.63,85,None
222,18.133.139.255,6010,2
223,73.161.186.17,80,None
224,195.252.98.222,5002,None
225,79.10.76.235,80,None
226,117.7.182.57,5568,None
227,35.88.167.203,448,2
228,1.52.50.90,88,None
229,159.192.190.219,9070,None
230,71.185.221.55,80,None
231,67.20.129.78,80,None
232,188.51.231.50,80,None
233,122.116.148.193,80,None
234,86.181.156.196,80,None
235,195.14.26.12,8094,None
236,177.85.110.130,80,None
237,13.211.234.50,3000,2
238,188.122.43.56,8888,None
239,102.117.226.170,1119,None
240,117.3.244.69,9304,None
241,38.172.132.15,8008,None
242,52.80.84.240,3542,2
243,27.125.152.122,80,None
244,83.99.149.181,89,None
245,5.20.173.176,80,None
246,83.151.203.10,2202,None
247,68.184.10.66,80,None
248,211.39.66.8,104,None
249,85.134.230.173,81,None
250,111.235.253.93,80,None
251,168.126.138.132,80,None
252,41.133.84.37,9111,None
253,96.77.244.222,80,None
254,187.102.117.134,8442,None
255,80.56.140.241,82,None
256,110.39.173.2,80,None
257,1.54.12.204,82,None
258,83.48.53.215,90,None
259,13.208.42.165,2601,2
260,16.171.65.135,7010,2
261,58.97.197.125,8080,None
262,73.176.53.40,80,None
263,117.4.68.8,88,None
264,181.91.90.11,80,None
265,196.206.75.44,8041,None
266,95.219.195.243,80,None
267,15.237.82.118,8812,2
268,103.110.22.114,80,None
269,71.150.108.135,80,None
270,185.136.127.230,81,None
