,ip,port,tag
0,189.41.223.232,80,None
1,86.121.221.141,80,None
2,151.231.191.53,80,None
3,194.26.164.55,80,None
4,82.10.233.246,80,None
5,81.149.219.48,8080,None
6,112.120.29.244,8080,None
7,31.10.90.247,8080,None
8,46.106.219.1,8080,None
9,213.97.84.201,8080,None
10,100.2.244.51,9000,None
11,71.105.188.25,9000,None
12,108.6.122.211,9000,None
13,5.178.170.30,9000,None
14,79.114.176.208,84,None
15,118.189.42.211,84,None
16,109.109.147.106,84,None
17,59.149.239.98,84,None
18,114.32.142.12,84,None
19,185.182.168.128,8000,None
20,119.204.35.217,8000,None
21,114.34.71.116,8000,None
22,115.179.100.127,81,None
23,78.0.68.80,81,None
24,190.64.136.147,81,None
25,118.69.133.140,81,None
26,212.124.20.177,81,None
27,112.66.177.145,83,None
28,200.91.202.66,83,None
29,129.126.115.209,83,None
30,195.87.68.78,83,None
31,171.249.4.7,83,None
