,ip,port,tag
0,54.184.242.201,80,None
1,54.176.66.194,80,None
2,13.251.1.108,80,None
3,147.236.148.168,80,None
4,122.59.199.58,80,None
5,18.194.1.113,8080,None
6,54.212.44.22,8080,None
7,52.37.171.120,8080,None
8,13.251.1.108,8080,None
9,3.96.158.148,8080,None
10,121.37.199.23,9000,None
11,35.183.209.66,84,None
12,3.96.158.148,84,None
13,13.208.214.85,84,None
14,18.229.155.61,84,None
15,13.37.221.66,84,None
16,18.188.230.135,8000,None
17,52.37.171.120,8000,None
18,147.236.148.168,8000,None
19,121.37.199.23,81,None
20,13.37.221.66,81,None
21,52.83.45.123,83,None
22,121.37.199.23,83,None
