count,addr,communication_count,alert,action_id
1,"('218.70.255.80', 55970)",1,False,25
1,"('183.136.225.31', 52431)",1,False,53
2,"('195.3.222.214', 61379)",1,False,44
3,"('152.32.140.200', 56918)",1,False,21
4,"('152.32.140.200', 52882)",2,False,53
5,"('152.32.140.200', 34762)",3,False,21
6,"('152.32.140.200', 46504)",4,False,30
7,"('109.205.213.30', 48196)",1,False,59
8,"('109.237.97.180', 43210)",1,False,39
9,"('109.237.97.180', 43090)",2,False,11
10,"('143.244.50.173', 43176)",1,False,55
11,"('107.170.255.35', 46400)",1,False,37
12,"('198.235.24.145', 55315)",1,False,40
13,"('183.136.225.42', 62569)",1,False,9
15,"('138.68.24.55', 50976)",2,False,36
16,"('138.68.24.55', 50986)",3,False,42
17,"('138.68.24.55', 50988)",4,False,60
18,"('138.68.24.55', 50996)",5,False,4
19,"('192.241.214.4', 52880)",1,False,25
20,"('185.180.143.141', 36608)",1,False,32
21,"('183.136.225.32', 40267)",1,False,15
22,"('183.136.225.32', 41671)",2,False,9
23,"('8.219.119.144', 41560)",1,False,13
24,"('8.219.119.144', 59224)",2,False,46
25,"('8.219.119.144', 38920)",3,False,26
26,"('114.100.176.254', 40314)",1,False,20
27,"('27.47.27.249', 40322)",1,False,45
28,"('84.54.50.144', 59090)",1,False,64
29,"('92.118.39.40', 46301)",1,False,44
30,"('193.35.18.89', 55510)",1,False,45
31,"('139.59.234.144', 50330)",1,False,58
32,"('47.97.156.153', 54616)",1,False,41
33,"('47.97.156.153', 54618)",2,False,40
34,"('47.97.156.153', 54615)",3,False,19
35,"('198.235.24.148', 58414)",1,False,1
36,"('106.11.34.8', 51238)",1,False,52
39,"('65.49.1.15', 12869)",1,False,10
40,"('205.210.31.177', 51982)",1,False,42
41,"('45.63.64.62', 34640)",1,False,36
42,"('35.203.211.239', 61878)",1,False,6
43,"('94.102.61.10', 58736)",1,False,49
44,"('139.59.234.144', 35944)",2,False,18
46,"('35.195.93.98', 43058)",1,False,11
48,"('71.6.232.25', 60842)",1,False,5
49,"('59.173.9.163', 58079)",1,False,52
50,"('109.205.213.30', 33902)",2,False,64
51,"('109.237.98.226', 58666)",1,False,7
52,"('109.237.98.226', 58766)",2,False,27
53,"('101.67.49.217', 62331)",1,False,57
54,"('157.245.69.67', 38418)",1,False,39
56,"('34.65.59.68', 51214)",1,False,57
57,"('141.98.6.143', 40024)",1,False,21
58,"('161.35.238.241', 36618)",1,False,7
59,"('198.199.108.17', 49982)",1,False,37
60,"('45.56.108.128', 62183)",1,False,30
61,"('178.32.170.29', 41459)",1,False,18
62,"('89.248.165.64', 59471)",1,False,10
