,addr,response
0,54.184.242.201:80,Connection refused
1,54.184.242.201:80,Connection refused
2,54.184.242.201:80,Connection refused
3,54.184.242.201:80,Connection refused
4,54.184.242.201:80,Connection refused
5,54.184.242.201:80,Connection refused
6,54.184.242.201:80,Connection refused
7,54.184.242.201:80,Connection refused
8,54.184.242.201:80,Connection refused
9,54.184.242.201:80,Connection refused
0,54.176.66.194:80,Connection refused
1,54.176.66.194:80,Connection refused
2,54.176.66.194:80,Connection refused
3,54.176.66.194:80,Connection refused
4,54.176.66.194:80,Connection refused
5,54.176.66.194:80,Connection refused
6,54.176.66.194:80,Connection refused
7,54.176.66.194:80,Connection refused
8,54.176.66.194:80,Connection refused
9,54.176.66.194:80,Connection refused
0,13.251.1.108:80,Connection refused
1,13.251.1.108:80,Connection refused
2,13.251.1.108:80,Connection refused
3,13.251.1.108:80,Connection refused
4,13.251.1.108:80,Connection refused
5,13.251.1.108:80,Connection refused
6,13.251.1.108:80,Connection refused
7,13.251.1.108:80,Connection refused
8,13.251.1.108:80,Connection refused
9,13.251.1.108:80,Connection refused
0,147.236.148.168:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
1,147.236.148.168:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
2,147.236.148.168:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
3,147.236.148.168:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
4,147.236.148.168:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
5,147.236.148.168:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
6,147.236.148.168:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
7,147.236.148.168:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
8,147.236.148.168:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
9,147.236.148.168:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
0,122.59.199.58:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
1,122.59.199.58:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
2,122.59.199.58:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
3,122.59.199.58:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
4,122.59.199.58:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
5,122.59.199.58:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
6,122.59.199.58:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
7,122.59.199.58:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
8,122.59.199.58:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
9,122.59.199.58:80,"<!DOCTYPE html>
<html><head><title>Document Error: Not Found</title></head>
<body><h2>Access Error: 404 -- Not Found</h2>
<p>Can't open URL</p>
</body>
</html>
"
