,addr,response
0,79.114.176.208:84,Connection refused
1,79.114.176.208:84,Connection refused
2,79.114.176.208:84,Connection refused
3,79.114.176.208:84,Connection refused
4,79.114.176.208:84,Connection refused
5,79.114.176.208:84,Connection refused
6,79.114.176.208:84,Connection refused
7,79.114.176.208:84,Connection refused
8,79.114.176.208:84,Connection refused
9,79.114.176.208:84,Connection refused
10,79.114.176.208:84,Connection refused
11,79.114.176.208:84,Connection refused
12,79.114.176.208:84,Connection refused
13,79.114.176.208:84,Connection refused
14,79.114.176.208:84,Connection refused
15,79.114.176.208:84,Connection refused
16,79.114.176.208:84,Connection refused
17,79.114.176.208:84,Connection refused
18,79.114.176.208:84,Connection refused
19,79.114.176.208:84,Connection refused
0,118.189.42.211:84,"<!DOCTYPE html>
<head>
    <title>Unauthorized</title>
    <link rel=""shortcut icon"" href=""data:image/x-icon;,"" type=""image/x-icon"">
</head>
<body>
<h2>Access Error: 401 -- Unauthorized</h2>
<pre></pre>
</body>
</html>
"
1,118.189.42.211:84,"<!DOCTYPE html>
<head>
    <title>Unauthorized</title>
    <link rel=""shortcut icon"" href=""data:image/x-icon;,"" type=""image/x-icon"">
</head>
<body>
<h2>Access Error: 401 -- Unauthorized</h2>
<pre></pre>
</body>
</html>
"
2,118.189.42.211:84,"<!DOCTYPE html>
<head>
    <title>Unauthorized</title>
    <link rel=""shortcut icon"" href=""data:image/x-icon;,"" type=""image/x-icon"">
</head>
<body>
<h2>Access Error: 401 -- Unauthorized</h2>
<pre></pre>
</body>
</html>
"
3,118.189.42.211:84,"<!DOCTYPE html>
<head>
    <title>Unauthorized</title>
    <link rel=""shortcut icon"" href=""data:image/x-icon;,"" type=""image/x-icon"">
</head>
<body>
<h2>Access Error: 401 -- Unauthorized</h2>
<pre></pre>
</body>
</html>
"
4,118.189.42.211:84,"<!DOCTYPE html>
<head>
    <title>Unauthorized</title>
    <link rel=""shortcut icon"" href=""data:image/x-icon;,"" type=""image/x-icon"">
</head>
<body>
<h2>Access Error: 401 -- Unauthorized</h2>
<pre></pre>
</body>
</html>
"
5,118.189.42.211:84,"<!DOCTYPE html>
<head>
    <title>Unauthorized</title>
    <link rel=""shortcut icon"" href=""data:image/x-icon;,"" type=""image/x-icon"">
</head>
<body>
<h2>Access Error: 401 -- Unauthorized</h2>
<pre></pre>
</body>
</html>
"
6,118.189.42.211:84,"<!DOCTYPE html>
<head>
    <title>Unauthorized</title>
    <link rel=""shortcut icon"" href=""data:image/x-icon;,"" type=""image/x-icon"">
</head>
<body>
<h2>Access Error: 401 -- Unauthorized</h2>
<pre></pre>
</body>
</html>
"
