,addr,response
0,52.83.45.123:83,Connection refused
1,52.83.45.123:83,Connection refused
2,52.83.45.123:83,Connection refused
3,52.83.45.123:83,Connection refused
4,52.83.45.123:83,Connection refused
5,52.83.45.123:83,Connection refused
6,52.83.45.123:83,Connection refused
7,52.83.45.123:83,Connection refused
8,52.83.45.123:83,Connection refused
9,52.83.45.123:83,Connection refused
10,52.83.45.123:83,Connection refused
11,52.83.45.123:83,Connection refused
12,52.83.45.123:83,Connection refused
13,52.83.45.123:83,Connection refused
14,52.83.45.123:83,Connection refused
15,52.83.45.123:83,Connection refused
16,52.83.45.123:83,Connection refused
17,52.83.45.123:83,Connection refused
18,52.83.45.123:83,Connection refused
19,52.83.45.123:83,Connection refused
20,52.83.45.123:83,Connection refused
21,52.83.45.123:83,Connection refused
22,52.83.45.123:83,Connection refused
23,52.83.45.123:83,Connection refused
24,52.83.45.123:83,Connection refused
25,52.83.45.123:83,Connection refused
26,52.83.45.123:83,Connection refused
27,52.83.45.123:83,Connection refused
28,52.83.45.123:83,Connection refused
29,52.83.45.123:83,Connection refused
30,52.83.45.123:83,Connection refused
31,52.83.45.123:83,Connection refused
32,52.83.45.123:83,Connection refused
33,52.83.45.123:83,Connection refused
34,52.83.45.123:83,Connection refused
35,52.83.45.123:83,Connection refused
36,52.83.45.123:83,Connection refused
37,52.83.45.123:83,Connection refused
38,52.83.45.123:83,Connection refused
39,52.83.45.123:83,Connection refused
40,52.83.45.123:83,Connection refused
41,52.83.45.123:83,Connection refused
42,52.83.45.123:83,Connection refused
43,52.83.45.123:83,Connection refused
44,52.83.45.123:83,Connection refused
45,52.83.45.123:83,Connection refused
46,52.83.45.123:83,Connection refused
47,52.83.45.123:83,Connection refused
48,52.83.45.123:83,Connection refused
49,52.83.45.123:83,Connection refused
50,52.83.45.123:83,Connection refused
51,52.83.45.123:83,Connection refused
52,52.83.45.123:83,Connection refused
53,52.83.45.123:83,Connection refused
54,52.83.45.123:83,Connection refused
55,52.83.45.123:83,Connection refused
56,52.83.45.123:83,Connection refused
57,52.83.45.123:83,Connection refused
58,52.83.45.123:83,Connection refused
59,52.83.45.123:83,Connection refused
0,121.37.199.23:83,Connection refused
1,121.37.199.23:83,Connection refused
2,121.37.199.23:83,Connection refused
3,121.37.199.23:83,Connection refused
4,121.37.199.23:83,Connection refused
5,121.37.199.23:83,Connection refused
6,121.37.199.23:83,Connection refused
7,121.37.199.23:83,Connection refused
8,121.37.199.23:83,Connection refused
9,121.37.199.23:83,Connection refused
10,121.37.199.23:83,Connection refused
11,121.37.199.23:83,Connection refused
12,121.37.199.23:83,Connection refused
13,121.37.199.23:83,Connection refused
14,121.37.199.23:83,Connection refused
15,121.37.199.23:83,Connection refused
16,121.37.199.23:83,Connection refused
17,121.37.199.23:83,Connection refused
18,121.37.199.23:83,Connection refused
19,121.37.199.23:83,Connection refused
20,121.37.199.23:83,Connection refused
21,121.37.199.23:83,Connection refused
22,121.37.199.23:83,Connection refused
23,121.37.199.23:83,Connection refused
24,121.37.199.23:83,Connection refused
25,121.37.199.23:83,Connection refused
26,121.37.199.23:83,Connection refused
27,121.37.199.23:83,Connection refused
28,121.37.199.23:83,Connection refused
29,121.37.199.23:83,Connection refused
30,121.37.199.23:83,Connection refused
31,121.37.199.23:83,Connection refused
32,121.37.199.23:83,Connection refused
33,121.37.199.23:83,Connection refused
34,121.37.199.23:83,Connection refused
35,121.37.199.23:83,Connection refused
36,121.37.199.23:83,Connection refused
37,121.37.199.23:83,Connection refused
38,121.37.199.23:83,Connection refused
39,121.37.199.23:83,Connection refused
40,121.37.199.23:83,Connection refused
41,121.37.199.23:83,Connection refused
42,121.37.199.23:83,Connection refused
43,121.37.199.23:83,Connection refused
44,121.37.199.23:83,Connection refused
45,121.37.199.23:83,Connection refused
46,121.37.199.23:83,Connection refused
47,121.37.199.23:83,Connection refused
48,121.37.199.23:83,Connection refused
49,121.37.199.23:83,Connection refused
50,121.37.199.23:83,Connection refused
51,121.37.199.23:83,Connection refused
52,121.37.199.23:83,Connection refused
53,121.37.199.23:83,Connection refused
54,121.37.199.23:83,Connection refused
55,121.37.199.23:83,Connection refused
56,121.37.199.23:83,Connection refused
57,121.37.199.23:83,Connection refused
58,121.37.199.23:83,Connection refused
59,121.37.199.23:83,Connection refused
