,addr,response
0,189.41.223.232:80,Connection refused
1,189.41.223.232:80,Connection refused
2,189.41.223.232:80,Connection refused
3,189.41.223.232:80,Connection refused
4,189.41.223.232:80,Connection refused
5,189.41.223.232:80,Connection refused
6,189.41.223.232:80,Connection refused
7,189.41.223.232:80,Connection refused
8,189.41.223.232:80,Connection refused
9,189.41.223.232:80,Connection refused
10,189.41.223.232:80,Connection refused
11,189.41.223.232:80,Connection refused
12,189.41.223.232:80,Connection refused
13,189.41.223.232:80,Connection refused
14,189.41.223.232:80,Connection refused
15,189.41.223.232:80,Connection refused
16,189.41.223.232:80,Connection refused
17,189.41.223.232:80,Connection refused
18,189.41.223.232:80,Connection refused
19,189.41.223.232:80,Connection refused
20,189.41.223.232:80,Connection refused
21,189.41.223.232:80,Connection refused
22,189.41.223.232:80,Connection refused
23,189.41.223.232:80,Connection refused
24,189.41.223.232:80,Connection refused
25,189.41.223.232:80,Connection refused
26,189.41.223.232:80,Connection refused
27,189.41.223.232:80,Connection refused
28,189.41.223.232:80,Connection refused
29,189.41.223.232:80,Connection refused
30,189.41.223.232:80,Connection refused
31,189.41.223.232:80,Connection refused
32,189.41.223.232:80,Connection refused
33,189.41.223.232:80,Connection refused
34,189.41.223.232:80,Connection refused
35,189.41.223.232:80,Connection refused
36,189.41.223.232:80,Connection refused
37,189.41.223.232:80,Connection refused
38,189.41.223.232:80,Connection refused
39,189.41.223.232:80,Connection refused
40,189.41.223.232:80,Connection refused
41,189.41.223.232:80,Connection refused
42,189.41.223.232:80,Connection refused
43,189.41.223.232:80,Connection refused
44,189.41.223.232:80,Connection refused
45,189.41.223.232:80,Connection refused
46,189.41.223.232:80,Connection refused
47,189.41.223.232:80,Connection refused
48,189.41.223.232:80,Connection refused
49,189.41.223.232:80,Connection refused
50,189.41.223.232:80,Connection refused
51,189.41.223.232:80,Connection refused
52,189.41.223.232:80,Connection refused
53,189.41.223.232:80,Connection refused
54,189.41.223.232:80,Connection refused
55,189.41.223.232:80,Connection refused
56,189.41.223.232:80,Connection refused
57,189.41.223.232:80,Connection refused
58,189.41.223.232:80,Connection refused
59,189.41.223.232:80,Connection refused
60,189.41.223.232:80,Connection refused
61,189.41.223.232:80,Connection refused
62,189.41.223.232:80,Connection refused
63,189.41.223.232:80,Connection refused
64,189.41.223.232:80,Connection refused
65,189.41.223.232:80,Connection refused
66,189.41.223.232:80,Connection refused
67,189.41.223.232:80,Connection refused
68,189.41.223.232:80,Connection refused
69,189.41.223.232:80,Connection refused
70,189.41.223.232:80,Connection refused
71,189.41.223.232:80,Connection refused
72,189.41.223.232:80,Connection refused
73,189.41.223.232:80,Connection refused
74,189.41.223.232:80,Connection refused
75,189.41.223.232:80,Connection refused
76,189.41.223.232:80,Connection refused
77,189.41.223.232:80,Connection refused
78,189.41.223.232:80,Connection refused
79,189.41.223.232:80,Connection refused
80,189.41.223.232:80,Connection refused
81,189.41.223.232:80,Connection refused
82,189.41.223.232:80,Connection refused
83,189.41.223.232:80,Connection refused
84,189.41.223.232:80,Connection refused
85,189.41.223.232:80,Connection refused
86,189.41.223.232:80,Connection refused
87,189.41.223.232:80,Connection refused
88,189.41.223.232:80,Connection refused
89,189.41.223.232:80,Connection refused
90,189.41.223.232:80,Connection refused
91,189.41.223.232:80,Connection refused
92,189.41.223.232:80,Connection refused
93,189.41.223.232:80,Connection refused
94,189.41.223.232:80,Connection refused
95,189.41.223.232:80,Connection refused
96,189.41.223.232:80,Connection refused
97,189.41.223.232:80,Connection refused
98,189.41.223.232:80,Connection refused
99,189.41.223.232:80,Connection refused
100,189.41.223.232:80,Connection refused
101,189.41.223.232:80,Connection refused
102,189.41.223.232:80,Connection refused
103,189.41.223.232:80,Connection refused
104,189.41.223.232:80,Connection refused
105,189.41.223.232:80,Connection refused
106,189.41.223.232:80,Connection refused
107,189.41.223.232:80,Connection refused
108,189.41.223.232:80,Connection refused
109,189.41.223.232:80,Connection refused
110,189.41.223.232:80,Connection refused
